,iso2,new_sp,new_sp_male,new_sp_female
144,NU,3.0,1.0,1.0
145,NZ,1412.0,623.0,535.0
146,OM,2412.0,1280.0,796.0
147,PA,13127.0,7132.0,4056.0
148,PE,383300.0,134752.0,102346.0
149,PF,375.0,207.0,177.0
150,PG,24539.0,5290.0,4916.0
151,PH,1265511.0,340678.0,149362.0
152,PK,422548.0,200385.0,190674.0
153,PL,61846.0,33326.0,14398.0
154,PR,1434.0,813.0,346.0
155,PS,180.0,76.0,37.0
156,PT,25439.0,17024.0,6073.0
157,PW,92.0,58.0,22.0
158,PY,19565.0,9538.0,5416.0
159,QA,1162.0,892.0,205.0
160,RO,166322.0,112717.0,42987.0
161,RS,4235.0,2466.0,1552.0
162,RU,490179.0,181835.0,57472.0
163,RW,51716.0,22955.0,13075.0
164,SA,21704.0,11044.0,7399.0
165,SB,2014.0,743.0,808.0
166,SC,113.0,75.0,27.0
167,SD,159403.0,79599.0,55185.0
168,SE,1912.0,838.0,669.0
169,SG,8087.0,4616.0,1564.0
170,SI,2639.0,1328.0,650.0
171,SK,5316.0,2617.0,1385.0
172,SL,44776.0,26787.0,16700.0
173,SM,2.0,1.0,1.0
174,SN,90897.0,59479.0,26965.0
175,SO,66791.0,42910.0,22844.0
176,SR,505.0,298.0,124.0
177,ST,421.0,276.0,240.0
178,SV,17242.0,7622.0,4924.0
179,SY,20028.0,11876.0,6309.0
180,SZ,23261.0,11618.0,10888.0
181,TC,18.0,5.0,10.0
182,TD,23518.0,11484.0,6647.0
183,TG,18148.0,10093.0,6434.0
184,TH,338348.0,223309.0,93653.0
185,TJ,13061.0,5152.0,3840.0
186,TK,1.0,37.0,37.0
187,TL,6961.0,3945.0,2996.0
188,TM,14764.0,9288.0,5017.0
189,TN,15207.0,7977.0,3005.0
190,TO,208.0,105.0,65.0
191,TR,68735.0,22035.0,8496.0
192,TT,1359.0,1036.0,412.0
193,TV,39.0,48.0,42.0
194,TZ,484758.0,207468.0,125482.0
195,UA,126737.0,106540.0,31715.0
196,UG,289507.0,154777.0,108342.0
197,US,101199.0,56685.0,26136.0
198,UY,5939.0,3569.0,1572.0
199,UZ,71815.0,29381.0,21431.0
200,VC,80.0,39.0,10.0
201,VE,54231.0,17491.0,11369.0
202,VG,4.0,2.0,2.0
203,VI,7.0,5.0,2.0
204,VN,743477.0,499139.0,210556.0
205,VU,709.0,292.0,276.0
206,WF,18.0,13.0,14.0
207,WS,197.0,76.0,76.0
208,YE,58909.0,28804.0,25121.0
209,YU,12090.0,7814.0,4888.0
210,ZA,1289665.0,499778.0,400571.0
211,ZM,177329.0,72910.0,56597.0
212,ZW,190737.0,46343.0,40596.0
